Date,Rate
1-May-22,1.60%
1-Nov-21,0.77%
1-May-21,0.52%
1-Nov-20,0.28%
1-May-20,1.08%
1-Nov-19,1.57%
1-May-19,2.30%
1-Nov-18,2.56%
1-May-18,2.18%
1-Nov-17,1.66%
1-May-17,1.68%
1-Nov-16,1.07%
1-May-16,1.31%
1-Nov-15,1.39%
1-May-15,1.35%
1-Nov-14,1.49%
1-May-14,1.42%
1-Nov-13,1.19%
1-May-13,0.68%
1-Nov-12,0.63%
1-May-12,0.81%
1-Nov-11,1.19%
1-May-11,1.77%
1-Nov-10,1.50%
1-May-10,2.16%
1-Nov-09,2.19%
1-May-09,1.64%
1-Nov-08,2.80%
1-May-08,2.74%
1-Nov-07,4.11%
1-May-07,4.15%
1-Nov-06,4.39%
1-May-06,4.11%
1-Nov-05,3.61%
1-May-05,3.42%
1-Nov-04,3.25%
1-May-04,2.84%
1-Nov-03,2.61%
1-May-03,2.66%
1-Nov-02,3.25%
1-May-02,3.96%
1-Nov-01,4.07%
1-May-01,4.50%
1-Nov-00,5.54%
1-May-00,5.73%
1-Nov-99,5.19%
